NOTE! USE TRIAL THREE FOR SURE,,Ix, Iz,,,Ix, Iz,,,Ix, Iz,,,Iy, Iz,,,Iy, Iz,,,
0.0002885,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.000339,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.000398,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0004675,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0005495,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0006455,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0007585,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0008915,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.001047,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0012305,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0014455,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.001698,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0019955,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.002345,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.002755,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.003235,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0038,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.004465,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.00525,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.006165,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.007245,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.00851,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.01,-0.02036,,,,,,,,,,,,,,,,,,,,,
Trial 3 for input current Ix,,,,,,,,,,,,,,,,,,,,,,
Ix, Iz,,,,,,,,,,,,,,,,,,,,,
1.00E-09,-4.86E-05,,,,,,,,,,,,,,,,,,,,,
1.15E-09,-4.87E-05,,,,,,,,,,,,,,,,,,,,,
1.40E-09,-4.89E-05,,,,,,,,,,,,,,,,,,,,,
1.60E-09,-4.89E-05,,,,,,,,,,,,,,,,,,,,,
1.90E-09,-4.91E-05,,,,,,,,,,,,,,,,,,,,,
2.25E-09,-4.93E-05,,,,,,,,,,,,,,,,,,,,,
2.65E-09,-4.97E-05,,,,,,,,,,,,,,,,,,,,,
3.10E-09,-4.99E-05,,,,,,,,,,,,,,,,,,,,,
3.65E-09,-5.01E-05,,,,,,,,,,,,,,,,,,,,,
4.25E-09,-5.02E-05,,,,,,,,,,,,,,,,,,,,,
5.00E-09,-5.05E-05,,,,,,,,,,,,,,,,,,,,,
5.90E-09,-5.11E-05,,,,,,,,,,,,,,,,,,,,,
6.90E-09,-5.18E-05,,,,,,,,,,,,,,,,,,,,,
8.15E-09,-5.25E-05,,,,,,,,,,,,,,,,,,,,,
9.55E-09,-5.34E-05,,,,,,,,,,,,,,,,,,,,,
1.12E-08,-5.44E-05,,,,,,,,,,,,,,,,,,,,,
1.32E-08,-5.55E-05,,,,,,,,,,,,,,,,,,,,,
1.55E-08,-5.69E-05,,,,,,,,,,,,,,,,,,,,,
1.82E-08,-5.86E-05,,,,,,,,,,,,,,,,,,,,,
2.14E-08,-6.06E-05,,,,,,,,,,,,,,,,,,,,,
2.51E-08,-6.31E-05,,,,,,,,,,,,,,,,,,,,,
2.95E-08,-6.61E-05,,,,,,,,,,,,,,,,,,,,,
3.47E-08,-6.97E-05,,,,,,,,,,,,,,,,,,,,,
4.08E-08,-7.41E-05,,,,,,,,,,,,,,,,,,,,,
4.79E-08,-7.95E-05,,,,,,,,,,,,,,,,,,,,,
5.63E-08,-8.62E-05,,,,,,,,,,,,,,,,,,,,,
6.61E-08,-9.43E-05,,,,,,,,,,,,,,,,,,,,,
7.76E-08,-0.0001041,,,,,,,,,,,,,,,,,,,,,
9.12E-08,-0.0001161,,,,,,,,,,,,,,,,,,,,,
1.07E-07,-0.0001307,,,,,,,,,,,,,,,,,,,,,
1.26E-07,-0.0001483,,,,,,,,,,,,,,,,,,,,,
1.48E-07,-0.0001693,,,,,,,,,,,,,,,,,,,,,
